Review Text,Sentiment,Feedback,Review Date,Hospital Name,Department,Reviewer Location,Reviewer Age Group,Rating
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1,2018-04-07,St. Mary's Clinic,Cardiology,Phoenix,26-40,1
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean.",Negative,0,2019-12-28,City Hospital,Emergency,Houston,41-60,5
The facilities were outdated/poorly maintained/unsanitary.,Negative,0,2019-02-06,City Hospital,Orthopedics,New York,18-25,2
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1,2023-06-15,City Hospital,Neurology,Houston,41-60,4
I am very satisfied with the care/service I received here.,Positive,1,2020-08-08,Central Health Care,Orthopedics,Chicago,26-40,3
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay.",Positive,1,2018-09-06,Greenwood Medical Center,Pediatrics,Houston,26-40,2
"The hospital charged unexpected fees/hidden costs, adding stress to my visit.",Negative,0,2019-12-21,Central Health Care,Pediatrics,New York,26-40,4
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0,2018-10-06,Central Health Care,Pediatrics,New York,18-25,2
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,Positive,1,2018-02-02,Greenwood Medical Center,Emergency,Phoenix,61+,2
I had an amazing/wonderful/great experience at this hospital.,Positive,1,2021-06-20,Greenwood Medical Center,Orthopedics,New York,18-25,1
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1,2023-06-11,City Hospital,Emergency,Houston,26-40,5
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1,2020-03-03,City Hospital,Emergency,Los Angeles,61+,3
I am very satisfied with the care/service I received here.,Positive,1,2020-11-29,Greenwood Medical Center,Emergency,Phoenix,61+,4
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism.",Positive,1,2023-12-08,Greenwood Medical Center,Orthopedics,Chicago,26-40,3
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1,2021-11-30,City Hospital,Orthopedics,Houston,18-25,4
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0,2018-06-09,Central Health Care,Cardiology,New York,61+,5
The nurses were kind/supportive/professional throughout my stay.,Positive,1,2019-11-22,St. Mary's Clinic,Emergency,Phoenix,26-40,1
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0,2021-12-06,City Hospital,Neurology,Los Angeles,61+,1
