Review Text,Sentiment,Feedback,Review Date,Hospital Name,Department,Reviewer Location,Reviewer Age Group,Rating
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2018-04-07,St. Mary's Clinic,Cardiology,Phoenix,26-40,1.0
"The hospital’s hygiene was unacceptable. The restrooms were filthy, and I saw several areas of the hospital that were not clean. I would not visit this hospital again due to the poor service.",Negative,0.0,2019-12-28,,Emergency,Houston,41-60,5.0
The facilities were outdated/poorly maintained/unsanitary.,Negative,0.0,2019-02-06,City Hospital,Orthopedics,New York,18-25,
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,2023-06-15,City Hospital,Neurology,Houston,41-60,4.0
I am very satisfied with the care/service I received here.,Positive,1.0,2020-08-08,Central Health Care,Orthopedics,Chicago,26-40,3.0
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay.",Positive,,2018-09-06,Greenwood Medical Center,Pediatrics,Houston,26-40,2.0
"The hospital charged unexpected fees/hidden costs, adding stress to my visit.",Negative,0.0,2019-12-21,Central Health Care,Pediatrics,New York,26-40,4.0
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress.",Negative,0.0,2018-10-06,Central Health Care,Pediatrics,New York,18-25,2.0
Satisfactory service.,Positive,1.0,2018-02-02,Greenwood Medical Center,Emergency,Phoenix,61+,2.0
I had an amazing/wonderful/great experience at this hospital.,Positive,1.0,2021-06-20,Greenwood Medical Center,Orthopedics,New York,18-25,1.0
Satisfactory service.,Positive,1.0,2023-06-11,City Hospital,Emergency,Houston,26-40,5.0
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1.0,2020-03-03,City Hospital,Emergency,Los Angeles,61+,3.0
,Positive,1.0,2020-11-29,Greenwood Medical Center,Emergency,Phoenix,61+,4.0
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism.",Positive,1.0,2023-12-08,Greenwood Medical Center,Orthopedics,Chicago,26-40,3.0
The doctors were attentive/thorough/understanding and explained everything clearly/in detail.,Positive,1.0,2021-11-30,City Hospital,Orthopedics,Houston,18-25,4.0
"The hospital lacked organization, and communication between departments was poor. This led to delays and unnecessary stress. On the bright side, the nurses were kind and helpful.",,1.0,2018-06-09,Central Health Care,Cardiology,New York,61+,4.0
Satisfactory service.,Positive,1.0,2019-11-22,St. Mary's Clinic,Emergency,Phoenix,26-40,1.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2021-12-06,City Hospital,Neurology,Los Angeles,61+,1.0
I am grateful for the exceptional follow-up care I received. The team was dedicated/attentive to ensuring I was doing well after my treatment.,Positive,1.0,2022-12-02,Greenwood Medical Center,Neurology,,18-25,1.0
"The medical equipment seemed outdated/poorly maintained, which left me questioning the quality of care I was receiving.",Negative,0.0,2018-12-15,Greenwood Medical Center,Neurology,Phoenix,41-60,1.0
I had to wait for hours/a long time before being attended to.,Negative,0.0,2021-06-09,City Hospital,Neurology,Phoenix,,5.0
"The hospital was state-of-the-art/modern/clean, which made my stay feel safe and comfortable.",Positive,1.0,2020-06-06,Greenwood Medical Center,Pediatrics,Houston,61+,3.0
The staff seemed disinterested/unavailable/inattentive during my visit.,Negative,0.0,2018-11-02,City Hospital,Cardiology,Los Angeles,18-25,5.0
The speed and efficiency of the hospital staff were impressive. My admission and discharge were smooth and quick.,Positive,1.0,2020-04-19,St. Mary's Clinic,Orthopedics,Chicago,18-25,4.0
"The hospital staff was helpful/kind/professional, and they made sure I was comfortable during my entire stay.",Positive,1.0,2020-02-02,,Neurology,Chicago,18-25,2.0
"The hospital has clean and modern facilities/excellent services. However, I was frustrated by the long waiting time.",Positive,0.0,2023-07-19,City Hospital,Emergency,Los Angeles,18-25,2.0
"I had to wait several hours/a long time for a nurse to attend to my needs, which made me feel neglected.",Negative,0.0,2023-09-19,Central Health Care,Pediatrics,Los Angeles,61+,5.0
The billing department caused major issues with incorrect/confusing invoices that were difficult to resolve. I would not visit this hospital again due to the poor service.,Negative,0.0,2020-04-11,Central Health Care,Cardiology,Phoenix,41-60,4.0
Communication from the hospital staff was excellent. They were responsive/informative and kept me in the loop at all times.,Positive,1.0,2019-12-26,Central Health Care,Neurology,Houston,26-40,5.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2022-07-13,Central Health Care,Pediatrics,Los Angeles,26-40,3.0
The hygiene in the hospital was poor/lacking/below standard.,Negative,0.0,2023-02-08,St. Mary's Clinic,Neurology,Chicago,41-60,2.0
,Negative,0.0,2023-10-01,City Hospital,Cardiology,New York,18-25,5.0
"The staff seemed disinterested/unavailable/inattentive during my visit. On the bright side, the nurses were kind and helpful.",Negative,1.0,2019-12-26,St. Mary's Clinic,Pediatrics,New York,61+,4.0
"The doctors were highly experienced/skilled, and they answered all my questions with patience and professionalism.",Positive,1.0,2021-06-20,Greenwood Medical Center,Pediatrics,New York,61+,3.0
I am very satisfied with the care/service I received here.,Positive,,2018-12-21,City Hospital,Orthopedics,Phoenix,41-60,2.0
"The hospital charged unexpected fees/hidden costs, adding stress to my visit.",Negative,0.0,2021-08-10,Central Health Care,Emergency,Los Angeles,26-40,2.0
"I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs. On the bright side, the nurses were kind and helpful. I would not visit this hospital again due to the poor service.",Negative,1.0,2023-01-29,Greenwood Medical Center,Neurology,Houston,41-60,4.0
"The nurses were kind/supportive/professional throughout my stay. However, I was frustrated by the long waiting time.",Positive,0.0,2022-11-14,City Hospital,Orthopedics,Houston,,2.0
My experience here was wonderful/positive/stress-free. The staff went out of their way to make everything seamless.,Positive,1.0,,City Hospital,Pediatrics,Los Angeles,26-40,2.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2020-01-04,St. Mary's Clinic,Neurology,Chicago,26-40,2.0
"The nurses were incredibly attentive/supportive, ensuring I had everything I needed for a smooth recovery.",Positive,1.0,2019-09-01,Greenwood Medical Center,Neurology,Los Angeles,26-40,5.0
The nurses were kind/supportive/professional throughout my stay.,Positive,1.0,2023-12-17,City Hospital,Orthopedics,New York,61+,1.0
I felt very supported by the caring/compassionate doctors who took time to explain my treatment plan thoroughly.,Positive,1.0,,St. Mary's Clinic,Cardiology,New York,18-25,3.0
I was frustrated by the unfriendly/apathetic attitude of the hospital staff. They were not attentive to my needs.,Negative,0.0,2020-09-18,Central Health Care,Orthopedics,New York,26-40,5.0
"The rooms were dirty/noisy/poorly maintained, making it hard to recover.",Negative,0.0,2023-10-26,Central Health Care,Neurology,Houston,41-60,4.0
"The hospital charged unexpected fees/hidden costs, adding stress to my visit.",Negative,0.0,2018-12-13,City Hospital,Pediatrics,Los Angeles,26-40,5.0
